Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
22.749,3.937,3.825,-0.713,0.741,0.757,0.734,0.733,
22.940,3.918,3.825,-0.714,0.743,0.759,0.736,0.735,
23.655,3.949,3.842,-0.719,0.750,0.766,0.743,0.743,
23.717,3.976,3.869,-0.727,0.761,0.776,0.753,0.752,
22.915,3.945,3.854,-0.732,0.766,0.782,0.758,0.759,
22.390,3.910,3.807,-0.733,0.768,0.783,0.759,0.760,
22.615,3.898,3.816,-0.735,0.770,0.785,0.760,0.762,
23.342,3.914,3.815,-0.738,0.774,0.790,0.765,0.767,
23.401,3.938,3.844,-0.746,0.783,0.799,0.775,0.775,
22.300,3.911,3.797,-0.748,0.785,0.802,0.777,0.778,
22.528,3.885,3.789,-0.749,0.786,0.804,0.778,0.779,
23.152,3.912,3.813,-0.753,0.791,0.809,0.783,0.785,
23.606,3.942,3.844,-0.763,0.802,0.819,0.793,0.794,
22.873,3.929,3.799,-0.771,0.809,0.826,0.801,0.800,
22.460,3.894,3.777,-0.772,0.811,0.828,0.801,0.802,
22.484,3.873,3.773,-0.774,0.812,0.830,0.802,0.804,
23.204,3.890,3.753,-0.778,0.817,0.834,0.806,0.809,
